image,codec,bytes,bpp,enc_ms,dec_ms
kodim10,obsidian-cmarc-force,453439,9.2252,230.67,107.76
kodim11,obsidian-cmarc-force,463898,9.4380,248.59,108.65
kodim12,obsidian-cmarc-force,418197,8.5082,233.53,102.03
kodim13,obsidian-cmarc-force,610271,12.4160,261.94,128.70
kodim14,obsidian-cmarc-force,515896,10.4959,254.64,116.28
kodim15,obsidian-cmarc-force,457377,9.3054,238.16,107.98
kodim16,obsidian-cmarc-force,423775,8.6217,240.01,101.90
kodim17,obsidian-cmarc-force,448333,9.1214,237.84,106.49
kodim18,obsidian-cmarc-force,572313,11.6437,257.25,123.40
kodim19,obsidian-cmarc-force,487353,9.9152,235.94,112.03
kodim20,obsidian-cmarc-force,376966,7.6694,204.48,92.54
kodim21,obsidian-cmarc-force,491209,9.9937,250.33,111.79
kodim22,obsidian-cmarc-force,535879,10.9025,253.35,119.75
kodim23,obsidian-cmarc-force,433864,8.8270,230.28,104.65
kodim24,obsidian-cmarc-force,506075,10.2961,250.96,115.97
kodim01,obsidian-cmarc-force+resctx,510653,10.3893,521.40,116.38
kodim02,obsidian-cmarc-force+resctx,457043,9.2986,480.92,109.46
kodim03,obsidian-cmarc-force+resctx,392176,7.9788,449.93,98.58
kodim04,obsidian-cmarc-force+resctx,483617,9.8392,479.37,111.95
kodim05,obsidian-cmarc-force+resctx,564603,11.4869,536.64,123.73
kodim06,obsidian-cmarc-force+resctx,474540,9.6545,473.06,109.05
kodim07,obsidian-cmarc-force+resctx,428640,8.7207,466.95,104.49
kodim08,obsidian-cmarc-force+resctx,565028,11.4955,518.65,122.75
kodim09,obsidian-cmarc-force+resctx,439768,8.9471,478.85,105.94
kodim10,obsidian-cmarc-force+resctx,453439,9.2252,469.76,107.56
kodim11,obsidian-cmarc-force+resctx,463898,9.4380,485.62,108.94
kodim12,obsidian-cmarc-force+resctx,418197,8.5082,456.97,101.73
kodim13,obsidian-cmarc-force+resctx,610271,12.4160,531.21,129.72
kodim14,obsidian-cmarc-force+resctx,515896,10.4959,502.34,115.78
kodim15,obsidian-cmarc-force+resctx,457377,9.3054,475.85,108.21
kodim16,obsidian-cmarc-force+resctx,423775,8.6217,462.18,101.94
kodim17,obsidian-cmarc-force+resctx,448333,9.1214,474.53,106.38
kodim18,obsidian-cmarc-force+resctx,572313,11.6437,515.08,124.01
kodim19,obsidian-cmarc-force+resctx,487353,9.9152,481.32,112.01
kodim20,obsidian-cmarc-force+resctx,376966,7.6694,405.20,92.29
kodim21,obsidian-cmarc-force+resctx,491209,9.9937,495.15,111.87
kodim22,obsidian-cmarc-force+resctx,535879,10.9025,507.71,119.49
kodim23,obsidian-cmarc-force+resctx,433864,8.8270,465.29,104.87
kodim24,obsidian-cmarc-force+resctx,506075,10.2961,501.07,115.68
kodim01,obsidian-r3c-run-force,511452,10.4055,400.34,140.73
kodim02,obsidian-r3c-run-force,457743,9.3128,384.16,133.34
kodim03,obsidian-r3c-run-force,395065,8.0376,360.13,122.26
kodim04,obsidian-r3c-run-force,484614,9.8595,384.94,139.66
kodim05,obsidian-r3c-run-force,565152,11.4980,419.98,150.69
kodim06,obsidian-r3c-run-force,475327,9.6706,375.59,131.23
kodim07,obsidian-r3c-run-force,430995,8.7686,374.35,128.16
kodim08,obsidian-r3c-run-force,565636,11.5079,416.47,148.77
kodim09,obsidian-r3c-run-force,440388,8.9597,372.89,130.15
kodim10,obsidian-r3c-run-force,454010,9.2369,373.05,133.92
kodim11,obsidian-r3c-run-force,466470,9.4904,387.81,132.43
kodim12,obsidian-r3c-run-force,419778,8.5404,370.50,125.40
kodim13,obsidian-r3c-run-force,610593,12.4225,424.05,155.16
kodim14,obsidian-r3c-run-force,516901,10.5164,400.03,140.72
kodim15,obsidian-r3c-run-force,459295,9.3444,378.79,131.71
kodim16,obsidian-r3c-run-force,425570,8.6582,372.02,125.05
kodim17,obsidian-r3c-run-force,449346,9.1420,376.05,131.00
kodim18,obsidian-r3c-run-force,572638,11.6503,416.14,150.64
kodim19,obsidian-r3c-run-force,487765,9.9236,384.38,138.01
