cell_id,pooler,workload,clients,pool_size,protocol,churn,duration_s,n,status,tps_median,tps_min,tps_max,tps_cv,p50_ms,p90_ms,p99_ms,p999_ms
M2-I1,direct,select-only,100,10,simple,False,60,3,measured,25207.915273,24994.010183,25276.872545,0.005862216629513944,,,,
M2-I1,pgagroal,select-only,100,10,simple,False,60,3,measured,2129.805933,1404.421878,2412.908373,0.2623898570357046,,,,
M2-I10,direct,tpcb-like,50,10,simple,False,60,3,measured,3668.684861,3592.081396,3780.604781,0.025760772175077894,,,,
M2-I10,odyssey,tpcb-like,50,10,simple,False,60,3,measured,3037.59756,3013.071792,3054.331251,0.0068375608546439315,,,,
M2-I11,direct,select-only,100,10,simple,False,60,3,measured,24674.34269,24543.864971,25049.563136,0.010604907035532398,,,,
M2-I11,pgcat,select-only,100,10,simple,False,60,3,measured,16619.120116,16395.23658,16621.216593,0.007849329168398079,,,,
M2-I12,direct,tpcb-like,50,10,simple,False,60,3,measured,3750.143076,3727.398564,3780.058297,0.007038208312157462,,,,
M2-I12,pgcat,tpcb-like,50,10,simple,False,60,3,measured,2855.733413,2820.366933,2866.961499,0.008539225107022817,,,,
M2-I13,direct,select-only,100,10,simple,False,60,3,measured,66115.383979,65997.068353,66384.233599,0.002998540461836404,,,,
M2-I13,pgpool,select-only,100,10,simple,False,60,3,measured,37859.480956,37395.909408,41234.275385,0.05395639729075482,,,,
M2-I14,direct,tpcb-like,50,10,simple,False,60,3,measured,2292.147186,1806.998074,2314.107081,0.13408981786708926,,,,
M2-I14,pgpool,tpcb-like,50,10,simple,False,60,3,measured,1233.037841,906.581805,1348.718238,0.19719030184012287,,,,
M2-I15,direct,select-only,100,10,simple,False,60,3,measured,66934.965444,65526.006001,68887.664185,0.025152525268256242,,,,
M2-I15,pgpool,select-only,100,10,simple,False,60,3,measured,36978.494489,36769.872674,37210.392918,0.005957959261614402,,,,
M2-I16,direct,tpcb-like,50,10,simple,False,60,3,measured,1926.252156,1776.573687,1956.539561,0.051078643416205764,,,,
M2-I16,pgpool,tpcb-like,50,10,simple,False,60,3,measured,1197.830883,1114.857611,1629.00076,0.21008042151814277,,,,
M2-I2,direct,tpcb-like,50,10,simple,False,60,3,measured,3465.11691,3451.941473,3491.713652,0.005839304865049159,,,,
M2-I2,pgagroal,tpcb-like,50,10,simple,False,60,3,measured,1266.090419,1254.373202,1309.474443,0.02273740041531949,,,,
M2-I3,direct,select-only,100,10,simple,False,60,3,measured,25044.845066,24697.391728,25306.578823,0.0122159304835376,,,,
M2-I3,pgagroal,select-only,100,10,simple,False,60,3,measured,2695.642066,2404.554549,3148.276147,0.13630653093436712,,,,
M2-I4,direct,tpcb-like,50,10,simple,False,60,3,measured,3463.878047,3461.758053,3467.803686,0.000885393554264775,,,,
M2-I4,pgagroal,tpcb-like,50,10,simple,False,60,3,measured,1433.122834,1423.552768,1461.457075,0.013694145278599197,,,,
M2-I5,direct,select-only,100,10,simple,False,60,3,measured,25524.440472,25348.579459,25552.908734,0.0043442328044404,,,,
M2-I5,pgbouncer,select-only,100,10,simple,False,60,3,measured,17401.200952,17043.054761,18550.943311,0.04459727716274819,,,,
M2-I6,direct,tpcb-like,50,10,simple,False,60,3,measured,3535.777166,3527.473029,3536.625067,0.001431233617216945,,,,
M2-I6,pgbouncer,tpcb-like,50,10,simple,False,60,3,measured,2671.156836,2661.162209,2684.972101,0.004473802795825713,,,,
M2-I7,direct,select-only,100,10,simple,False,60,3,measured,23662.435588,23104.357161,23896.187557,0.0172721858891517,,,,
M2-I7,odyssey,select-only,100,10,simple,False,60,3,measured,13149.89564,12967.69768,13214.598679,0.009764915865517643,,,,
M2-I8,direct,tpcb-like,50,10,simple,False,60,3,measured,3680.823851,3609.448963,3767.498236,0.021473032449236103,,,,
M2-I8,odyssey,tpcb-like,50,10,simple,False,60,3,measured,3031.664969,2972.764757,3051.093264,0.013512693706175015,,,,
M2-I9,direct,select-only,100,10,simple,False,60,3,measured,24132.944452,22959.866197,24375.484515,0.0317791906886255,,,,
M2-I9,odyssey,select-only,100,10,simple,False,60,3,measured,13319.171971,13199.727856,13329.846641,0.005438568336891269,,,,
M2-P1,direct,tpcb-like,50,10,prepared,False,60,3,measured,4749.371388,4421.574987,5094.965167,0.0708123595336237,,,,
M2-P1,pgagroal,tpcb-like,50,10,prepared,False,60,3,timeout/inconclusive,,,,,,,,
M2-P2,direct,tpcb-like,50,10,prepared,False,60,3,measured,4723.367367,3940.249299,4894.105371,0.11254911530250288,,,,
M2-P2,pgbouncer,tpcb-like,50,10,prepared,False,60,3,timeout/inconclusive,,,,,,,,
M2-P3,direct,tpcb-like,50,10,prepared,False,60,3,measured,4392.016762,3576.500765,4527.297,0.12348709907515416,,,,
M2-P3,pgbouncer,tpcb-like,50,10,prepared,False,60,3,timeout/inconclusive,,,,,,,,
M2-P4,direct,tpcb-like,50,10,prepared,False,60,3,measured,4491.177549,4469.170011,4496.816392,0.0032566681769262687,,,,
M2-P4,odyssey,tpcb-like,50,10,prepared,False,60,3,measured,1382.626598,1363.079846,1385.222661,0.00879066638299662,,,,
M2-P5,direct,tpcb-like,50,10,prepared,False,60,3,measured,4427.28069,4386.903032,4459.475547,0.008218471348613785,,,,
