cell_id,pooler,workload,clients,pool_size,protocol,churn,duration_s,n,status,tps_median,tps_min,tps_max,tps_cv,p50_ms,p90_ms,p99_ms,p999_ms
M9-U-S6,direct,tpcb-like,50,10,simple,False,60,7,measured,3115.28169,2458.589944,4081.872466,0.15869671401322227,7.691,29.970899999999993,154.4094599999998,299.4146389999984
M9-U-S7,direct,select-only,100,10,simple,False,60,7,measured,59770.779251,58405.055662,60040.669695,0.008997761475939003,1.602,2.265,7.74525,12.923
M9-U-S8,direct,tpcb-like,50,10,simple,False,60,7,measured,3040.394645,2196.268681,4011.270011,0.22078667914675915,5.927,31.808000000000057,193.02747999999923,476.9921300000011
M9-U-S9,direct,select-only,100,10,simple,False,60,7,measured,22170.357087,21714.986563,22502.091753,0.012045894470949288,4.262,5.977,20.598,28.799411999999542
M9-U-T1,supavisor,select-only,100,10,simple,False,60,1,N/A (unsupported),,,,,,,,
M9-U-T2,supavisor,tpcb-like,50,10,simple,False,60,1,N/A (unsupported),,,,,,,,
M9-U-T3,supavisor,select-only,100,10,simple,False,60,1,N/A (unsupported),,,,,,,,
M9-U-T4,supavisor,tpcb-like,50,10,simple,False,60,1,N/A (unsupported),,,,,,,,
M9-U-W1,direct,simple-update,100,20,simple,False,60,7,measured,4558.663791,3114.786069,5218.170468,0.15746868571507489,9.39,55.3935,187.60568000000018,332.7669839999996
M9-U-W10,direct,select-only,100,10,simple,True,60,7,measured,299.171086,291.996863,305.550671,0.017065701080808952,150.16,355.5667,464.90987999999993,639.6427379999988
M9-U-W2,direct,simple-update,100,20,simple,False,60,7,measured,4171.487524,3992.215482,4969.378594,0.07718770100870363,9.74,59.238600000000034,197.75456000000008,353.21835600000037
M9-U-W3,direct,simple-update,100,20,simple,False,60,7,measured,4111.004046,3452.394536,4609.203565,0.1296542470030717,16.784,43.61140000000002,166.602,348.02906800000017
M9-U-W4,direct,simple-update,100,20,simple,False,60,7,measured,4031.468474,3343.450264,4453.952549,0.09319490174694826,16.799,44.3008000000001,171.52429999999998,285.9439550000013
M9-U-W5,direct,simple-update,100,20,simple,False,60,7,measured,5302.538221,5273.526741,5330.381814,0.004017235658184347,18.047,26.559,46.05869999999995,123.93855399999966
M9-U-W6,direct,select-only,100,10,simple,True,60,7,measured,194.05419,193.510582,194.667432,0.002107079200814667,239.411,521.0193999999999,647.0160799999999,724.3717139999999
M9-U-W7,direct,select-only,100,10,simple,True,60,7,measured,193.984806,188.963065,197.821484,0.01609302905324771,243.301,516.2860000000001,641.0675799999992,726.4968090000009
M9-U-W8,direct,select-only,100,10,simple,True,60,7,measured,190.956395,187.875016,193.222443,0.010508554577185596,246.75650000000002,521.9026000000002,642.7966000000002,729.2017160000019
M9-U-W9,direct,select-only,100,10,simple,True,60,7,measured,297.577789,289.694397,303.827387,0.017552379721841156,151.969,352.9414,450.11692000000005,545.6435249999998
